score,genres,type,episodes,duration,rating,popularity,favorites,scored_by
8.76,Adventure,PG-13 - Teens 13 or older,28.0,24.0,PG-13 - Teens 13 or older,160,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),28.5,24.0,R - 17+ (violence & profanity),3,229.5,37650.25
8.76,Drama,PG-13 - Teens 13 or older,24.0,24.0,PG-13 - Teens 13 or older,14,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,1.0,24.0,PG-13 - Teens 13 or older,2334,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),10.0,23.0,R - 17+ (violence & profanity),21,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,28.5,24.0,PG-13 - Teens 13 or older,344,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,1536,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,28.5,23.0,PG-13 - Teens 13 or older,8,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,28.5,24.0,PG-13 - Teens 13 or older,401,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,13.0,24.0,PG-13 - Teens 13 or older,758,229.5,37650.25
8.76,Drama,R - 17+ (violence & profanity),28.5,26.0,R - 17+ (violence & profanity),761,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),13.0,24.0,R - 17+ (violence & profanity),373,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,785,229.5,37650.25
8.76,Comedy,PG-13 - Teens 13 or older,13.0,23.0,PG-13 - Teens 13 or older,168,229.5,37650.25
8.76,Drama,PG-13 - Teens 13 or older,13.0,23.0,PG-13 - Teens 13 or older,460,229.5,37650.25
8.76,Drama,PG-13 - Teens 13 or older,24.0,24.0,PG-13 - Teens 13 or older,120,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,28.5,24.0,PG-13 - Teens 13 or older,145,229.5,37650.25
8.76,Award Winning,PG-13 - Teens 13 or older,1.0,2.0,PG-13 - Teens 13 or older,20,229.5,37650.25
8.76,Drama,PG-13 - Teens 13 or older,22.0,25.0,PG-13 - Teens 13 or older,590,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),25.0,24.0,R - 17+ (violence & profanity),47,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,1038,229.5,37650.25
8.76,Drama,PG-13 - Teens 13 or older,24.0,22.0,PG-13 - Teens 13 or older,417,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,14.0,24.0,PG-13 - Teens 13 or older,1233,229.5,37650.25
8.76,Drama,R+ - Mild Nudity,28.5,24.0,R+ - Mild Nudity,123,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),13.0,23.0,R - 17+ (violence & profanity),644,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),2.0,1.0,R - 17+ (violence & profanity),289,229.5,37650.25
8.76,Comedy,R - 17+ (violence & profanity),7.0,22.0,R - 17+ (violence & profanity),593,229.5,37650.25
8.76,Award Winning,PG-13 - Teens 13 or older,1.0,2.0,PG-13 - Teens 13 or older,339,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),26.0,25.0,R - 17+ (violence & profanity),2033,229.5,37650.25
8.76,Award Winning,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,11,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),1.0,2.0,R - 17+ (violence & profanity),4169,220.0,5737.0
8.76,Action,R - 17+ (violence & profanity),24.0,25.0,R - 17+ (violence & profanity),297,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,1170,229.5,37650.25
8.76,Action,PG-13 - Teens 13 or older,13.0,24.0,PG-13 - Teens 13 or older,73,229.5,37650.25
8.76,Drama,R - 17+ (violence & profanity),2.0,3.0,R - 17+ (violence & profanity),8044,229.5,2297.0
8.76,Action,R - 17+ (violence & profanity),1.0,1.0,R - 17+ (violence & profanity),493,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),16.0,23.0,R - 17+ (violence & profanity),33,229.5,37650.25
8.76,Sports,PG-13 - Teens 13 or older,28.5,23.0,PG-13 - Teens 13 or older,361,229.5,37650.25
8.76,Drama,PG-13 - Teens 13 or older,24.0,24.0,PG-13 - Teens 13 or older,1179,229.5,28685.0
8.76,Sports,PG-13 - Teens 13 or older,10.0,24.0,PG-13 - Teens 13 or older,116,229.5,37650.25
8.76,Adventure,PG - Children,1.0,2.0,PG - Children,44,229.5,37650.25
8.76,Comedy,PG-13 - Teens 13 or older,13.0,23.0,PG-13 - Teens 13 or older,1045,229.5,37650.25
8.76,Comedy,R - 17+ (violence & profanity),26.0,25.0,R - 17+ (violence & profanity),316,229.5,37650.25
8.76,Comedy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,333,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),24.0,24.0,R - 17+ (violence & profanity),72,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),23.0,23.0,R - 17+ (violence & profanity),138,229.5,37650.25
8.76,Action,R - 17+ (violence & profanity),12.0,23.0,R - 17+ (violence & profanity),99,229.5,37650.25
8.75,Action,R - 17+ (violence & profanity),26.0,24.0,R - 17+ (violence & profanity),42,229.5,37650.25
8.74,Comedy,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,812,229.5,37650.25
8.74,Drama,PG-13 - Teens 13 or older,28.5,24.0,PG-13 - Teens 13 or older,3088,229.5,22703.0
8.73,unknown,PG-13 - Teens 13 or older,1.0,3.0,PG-13 - Teens 13 or older,4553,229.5,18481.0
8.73,Award Winning,PG-13 - Teens 13 or older,1.0,2.0,PG-13 - Teens 13 or older,3007,229.5,26917.0
8.73,Action,R - 17+ (violence & profanity),26.0,24.0,R - 17+ (violence & profanity),2686,229.5,32218.0
8.73,Drama,PG-13 - Teens 13 or older,11.0,23.0,PG-13 - Teens 13 or older,586,229.5,37650.25
8.73,Action,PG-13 - Teens 13 or older,2.0,24.0,PG-13 - Teens 13 or older,17,229.5,37650.25
