score,episodes,duration,popularity,favorites,scored_by,Cluster,genres,type,rating
8.76,28.0,24.0,160.0,229.5,37650.25,0,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,28.5,24.0,3.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,24.0,24.0,14.0,229.5,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,1.0,24.0,2334.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,10.0,23.0,21.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,28.5,24.0,344.0000000000009,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,1.0,1.0,1536.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,28.5,23.0,8.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,28.5,24.0,401.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,13.0,24.0,758.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,28.5,26.0,761.0000000000009,229.5,37650.25,0,Drama,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,13.0,24.0,373.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,12.0,24.0,785.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,13.0,23.0,168.0,229.5,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,13.0,23.0,460.0000000000009,229.5,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,24.0,24.0,120.0,229.5,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,28.5,24.0,145.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,1.0,2.0,20.0,229.5,37650.25,0,Award Winning,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,22.0,25.0,589.9999999999991,229.5,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,25.0,24.0,47.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,1.0,1.0,1037.999999999999,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,24.0,22.0,417.0,229.5,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,14.0,24.0,1233.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,28.5,24.0,123.0,229.5,37650.25,0,Drama,R+ - Mild Nudity,R+ - Mild Nudity
8.76,13.0,23.0,643.9999999999991,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,2.0,1.0,289.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,7.0,22.0,593.0,229.5,37650.25,0,Comedy,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,1.0,2.0,339.0,229.5,37650.25,0,Award Winning,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,26.0,25.0,2033.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,1.0,1.0,11.0,229.5,37650.25,0,Award Winning,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,1.0,2.0,4169.0,220.0,5737.0,1,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,24.0,25.0,297.0000000000009,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,12.0,24.0,1169.999999999999,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,13.0,24.0,73.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,2.0,3.0,8044.0,229.5,2297.0,1,Drama,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,1.0,1.0,493.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,16.0,23.0,33.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,28.5,23.0,361.0,229.5,37650.25,0,Sports,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,24.0,24.0,1179.0,229.5,28685.0,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,10.0,24.0,116.0,229.5,37650.25,0,Sports,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,1.0,2.0,44.0,229.5,37650.25,0,Adventure,PG - Children,PG - Children
8.76,13.0,23.0,1045.0,229.5,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,26.0,25.0,316.0,229.5,37650.25,0,Comedy,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,12.0,23.0,333.0,229.5,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
8.76,24.0,24.0,72.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
8.76,23.0,23.0,138.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
